PDB_ID,Binder 1 Chains,Binder 2 Chains,Binder 1 Sc,Binder 1 Interface Area,Binder 2 Sc,Binder 2 Interface Area,Complex Sc
2PFK,A,B,0.428,602,0.434,595,0.431
2SEC,E,I,0.568,572,0.568,501,0.568
1CHO,EFG,I,0.521,530,0.548,467,0.534
1FDL,HL,Y,0.437,424,0.437,398,0.437
2SNI,E,I,0.532,619,0.531,564,0.532
